model_id,provider,model_type
CRC0077LM,IRCC-CRC,PDX
CRC0492LM,IRCC-CRC,PDX
CRC0484LM,IRCC-CRC,PDX
CRC0254LM,IRCC-CRC,PDX
CRC0536LM,IRCC-CRC,PDX
CRC0471LM,IRCC-CRC,PDX
CRC0479LM,IRCC-CRC,PDX
CRC0551LM,IRCC-CRC,PDX
CRC0451LM,IRCC-CRC,PDX
CRC0502LM,IRCC-CRC,PDX
CRC0467LM,IRCC-CRC,PDX
CRC0072LM,IRCC-CRC,PDX
CRC0121LM,IRCC-CRC,PDX
CRC0068LM,IRCC-CRC,PDX
CRC0529LM,IRCC-CRC,PDX
CRC0488LM,IRCC-CRC,PDX
CRC0322LM,IRCC-CRC,PDX
CRC0323LM,IRCC-CRC,PDX
CRC0297LM,IRCC-CRC,PDX
CRC0378LM,IRCC-CRC,PDX
CRC0431LM,IRCC-CRC,PDX
CRC0403LM,IRCC-CRC,PDX
CRC0404LM,IRCC-CRC,PDX
CRC0406LM,IRCC-CRC,PDX
CRC0420LM,IRCC-CRC,PDX
CRC0426LM,IRCC-CRC,PDX
CRC0671PR,IRCC-CRC,PDX
CRC1194PR,IRCC-CRC,PDX
CRC1325PR,IRCC-CRC,PDX
CRC0714PR,IRCC-CRC,PDX
GTR0009PR,IRCC-GC,PDX
GTR0010PR,IRCC-GC,PDX
GTR0013PR,IRCC-GC,PDX
GTR0024PR,IRCC-GC,PDX
GTR0025PR,IRCC-GC,PDX
GTR0031PR,IRCC-GC,PDX
GTR0032PR,IRCC-GC,PDX
GTR0042PR,IRCC-GC,PDX
GTR0050PR,IRCC-GC,PDX
GTR0055PR,IRCC-GC,PDX
GTR0060PR,IRCC-GC,PDX
GTR0062PR,IRCC-GC,PDX
GTR0075PR,IRCC-GC,PDX
GTR0078PR,IRCC-GC,PDX
GTR0085PR,IRCC-GC,PDX
GTR0102PR,IRCC-GC,PDX
GTR0103PR,IRCC-GC,PDX
GTR0105PR,IRCC-GC,PDX
GTR0108PR,IRCC-GC,PDX
GTR0109PR,IRCC-GC,PDX
GTR0110PR,IRCC-GC,PDX
GTR0119PR,IRCC-GC,PDX
GTR0124PR,IRCC-GC,PDX
GTR0125PR,IRCC-GC,PDX
GTR0126PR,IRCC-GC,PDX
GTR0128PR,IRCC-GC,PDX
GTR0133PR,IRCC-GC,PDX
GTR0155PR,IRCC-GC,PDX
GTR0157PR,IRCC-GC,PDX
GTR0164PR,IRCC-GC,PDX
GTR0165PR,IRCC-GC,PDX
GTR0167PR,IRCC-GC,PDX
GTR0171PR,IRCC-GC,PDX
GTR0181PR,IRCC-GC,PDX
GTR0187PR,IRCC-GC,PDX
GTR0193PR,IRCC-GC,PDX
GTR0199PR,IRCC-GC,PDX
GTR0202PR,IRCC-GC,PDX
GTR0207PR,IRCC-GC,PDX
GTR0213PR,IRCC-GC,PDX
GTR0219PR,IRCC-GC,PDX
GTR0222PR,IRCC-GC,PDX
GTR0227PR,IRCC-GC,PDX
GTR0233PR,IRCC-GC,PDX
GTR0235PR,IRCC-GC,PDX
GTR0243PR,IRCC-GC,PDX
GTR0244PR,IRCC-GC,PDX
GTR0245PR,IRCC-GC,PDX
GTR0247PR,IRCC-GC,PDX
GTR0248PR,IRCC-GC,PDX
GTR0249PR,IRCC-GC,PDX
GTR0254PR,IRCC-GC,PDX
GTR0255PR,IRCC-GC,PDX
GTR0257PR,IRCC-GC,PDX
GTR0259PR,IRCC-GC,PDX
GTR0263PR,IRCC-GC,PDX
GTR0264PR,IRCC-GC,PDX
GTR0272PR,IRCC-GC,PDX
GTR0287PR,IRCC-GC,PDX
GTR0289PR,IRCC-GC,PDX
GTR0290PR,IRCC-GC,PDX
GTR0302PR,IRCC-GC,PDX
GTR0307PR,IRCC-GC,PDX
GTR0324PR,IRCC-GC,PDX
GTR0326PR,IRCC-GC,PDX
GTR0331PR,IRCC-GC,PDX
GTR0413PR,IRCC-GC,PDX
GTR0424PR,IRCC-GC,PDX
GTR0431PR,IRCC-GC,PDX
GTR0340PR,IRCC-GC,PDX
GTR0353PR,IRCC-GC,PDX
GTR0363PR,IRCC-GC,PDX
GTR0369PR,IRCC-GC,PDX
GTR0371PR,IRCC-GC,PDX
GTR0391PR,IRCC-GC,PDX
GTR0277PR,IRCC-GC,PDX
TM00208,JAX,PDX
J000096922,JAX,PDX
TM01557,JAX,PDX
J000112414,JAX,PDX
TM00186,JAX,PDX
TM00862,JAX,PDX
J000106562,JAX,PDX
TM00025,JAX,PDX
J000078984,JAX,PDX
J000115416,JAX,PDX
TM01145,JAX,PDX
TM01420,JAX,PDX
TM00335,JAX,PDX
TM00072,JAX,PDX
J000106574,JAX,PDX
TM01053,JAX,PDX
J000100672,JAX,PDX
J000104117,JAX,PDX
TM00219,JAX,PDX
TM00930,JAX,PDX
TM01029,JAX,PDX
TM00231,JAX,PDX
TM01121,JAX,PDX
J000106871,JAX,PDX
J000105006,JAX,PDX
TM00084,JAX,PDX
J000106573,JAX,PDX
TM00311,JAX,PDX
TM00013,JAX,PDX
J000115417,JAX,PDX
J000108112,JAX,PDX
J000106172,JAX,PDX
TM00931,JAX,PDX
J000078604,JAX,PDX
J000102326,JAX,PDX
TM01007,JAX,PDX
TM00061,JAX,PDX
J000106528,JAX,PDX
J000100556,JAX,PDX
TM01443,JAX,PDX
TM01168,JAX,PDX
TM01225,JAX,PDX
TM01500,JAX,PDX
TM01386,JAX,PDX
J000105934,JAX,PDX
TM00381,JAX,PDX
TM01030,JAX,PDX
TM00964,JAX,PDX
J000102680,JAX,PDX
J000112358,JAX,PDX
TM00896,JAX,PDX
J000078366,JAX,PDX
J000114963,JAX,PDX
TM00047,JAX,PDX
TM01545,JAX,PDX
J000104518,JAX,PDX
TM00256,JAX,PDX
TM00233,JAX,PDX
J000103366,JAX,PDX
J000079689,JAX,PDX
TM00073,JAX,PDX
J000104096,JAX,PDX
J000078673,JAX,PDX
TM01284,JAX,PDX
TM00096,JAX,PDX
TM01100,JAX,PDX
TM01303,JAX,PDX
J000111056,JAX,PDX
J000096878,JAX,PDX
TM00196,JAX,PDX
TM01441,JAX,PDX
J000094707,JAX,PDX
TM00062,JAX,PDX
J000099327,JAX,PDX
TM00849,JAX,PDX
TM00884,JAX,PDX
TM01353,JAX,PDX
TM00920,JAX,PDX
TM01155,JAX,PDX
J000077591,JAX,PDX
TM00185,JAX,PDX
J000106529,JAX,PDX
TM01237,JAX,PDX
J000106563,JAX,PDX
TM00024,JAX,PDX
TM01063,JAX,PDX
TM01144,JAX,PDX
J000106949,JAX,PDX
TM01442,JAX,PDX
J000096828,JAX,PDX
J000099706,JAX,PDX
TM01039,JAX,PDX
TM01612,JAX,PDX
TM00921,JAX,PDX
TM01215,JAX,PDX
TM01513,JAX,PDX
TM00784,JAX,PDX
TM00184,JAX,PDX
TM00222,JAX,PDX
TM00977,JAX,PDX
TM00023,JAX,PDX
TM01569,JAX,PDX
J000106564,JAX,PDX
TM01498,JAX,PDX
J000106541,JAX,PDX
TM00360,JAX,PDX
TM00943,JAX,PDX
J000115418,JAX,PDX
TM01464,JAX,PDX
J000096053,JAX,PDX
J000093555,JAX,PDX
TM01348,JAX,PDX
TM00244,JAX,PDX
TM00057,JAX,PDX
TM00999,JAX,PDX
J000096967,JAX,PDX
TM00001,JAX,PDX
J000104256,JAX,PDX
TM00139,JAX,PDX
TM01360,JAX,PDX
J000106571,JAX,PDX
TM01165,JAX,PDX
TM00980,JAX,PDX
TM01079,JAX,PDX
TM01245,JAX,PDX
J000115419,JAX,PDX
J000106536,JAX,PDX
J000106141,JAX,PDX
J000079378,JAX,PDX
J000096845,JAX,PDX
J000100365,JAX,PDX
J000115420,JAX,PDX
TM00039,JAX,PDX
TM00910,JAX,PDX
J000096913,JAX,PDX
TM00945,JAX,PDX
J000117590,JAX,PDX
TM01611,JAX,PDX
J000101329,JAX,PDX
TM00051,JAX,PDX
TM00888,JAX,PDX
TM01130,JAX,PDX
J000108981,JAX,PDX
J000080230,JAX,PDX
TM00246,JAX,PDX
TM00212,JAX,PDX
TM01423,JAX,PDX
J000117591,JAX,PDX
TM00107,JAX,PDX
TM01446,JAX,PDX
TM01479,JAX,PDX
J000099257,JAX,PDX
TM00887,JAX,PDX
TM01267,JAX,PDX
TM00188,JAX,PDX
TM01234,JAX,PDX
J000106560,JAX,PDX
TM00016,JAX,PDX
J000099761,JAX,PDX
TM00058,JAX,PDX
TM00070,JAX,PDX
J000096994,JAX,PDX
TM00922,JAX,PDX
TM01092,JAX,PDX
J000095635,JAX,PDX
TM00282,JAX,PDX
TM01457,JAX,PDX
TM00015,JAX,PDX
TM00279,JAX,PDX
J000077636,JAX,PDX
TM00199,JAX,PDX
TM01014,JAX,PDX
J000096958,JAX,PDX
J000108200,JAX,PDX
J000106526,JAX,PDX
TM00176,JAX,PDX
TM01341,JAX,PDX
TM01120,JAX,PDX
TM00339,JAX,PDX
TM00958,JAX,PDX
TM01141,JAX,PDX
TM00165,JAX,PDX
TM01571,JAX,PDX
TM00702,JAX,PDX
J000093018,JAX,PDX
TM01373,JAX,PDX
TM00330,JAX,PDX
J000095633,JAX,PDX
TM00351,JAX,PDX
TM01258,JAX,PDX
TM01212,JAX,PDX
J000077451,JAX,PDX
TM01119,JAX,PDX
TM01400,JAX,PDX
TM00164,JAX,PDX
J000105561,JAX,PDX
J000099318,JAX,PDX
J000100646,JAX,PDX
J000094100,JAX,PDX
J000096854,JAX,PDX
TM00037,JAX,PDX
J000106572,JAX,PDX
TM00198,JAX,PDX
J000101006,JAX,PDX
TM00213,JAX,PDX
TM01594,JAX,PDX
TM00385,JAX,PDX
J000101866,JAX,PDX
J000106142,JAX,PDX
TM00292,JAX,PDX
TM01048,JAX,PDX
TM00026,JAX,PDX
TM00187,JAX,PDX
J000117663,JAX,PDX
J000106527,JAX,PDX
J000106561,JAX,PDX
TM00060,JAX,PDX
TM01340,JAX,PDX
TM00913,JAX,PDX
TM00317,JAX,PDX
J000094918,JAX,PDX
J000101005,JAX,PDX
TM00214,JAX,PDX
TM01448,JAX,PDX
TM01563,JAX,PDX
TM00375,JAX,PDX
TM01127,JAX,PDX
TM00077,JAX,PDX
TM00352,JAX,PDX
TM00134,JAX,PDX
J000106132,JAX,PDX
J000078336,JAX,PDX
TM00387,JAX,PDX
J000096940,JAX,PDX
J000111644,JAX,PDX
TM01357,JAX,PDX
TM01632,JAX,PDX
J000106144,JAX,PDX
J000103634,JAX,PDX
J000077973,JAX,PDX
TM00192,JAX,PDX
TM00020,JAX,PDX
J000094290,JAX,PDX
TM00090,JAX,PDX
TM00386,JAX,PDX
J000096985,JAX,PDX
J000106143,JAX,PDX
J000098169,JAX,PDX
J000106534,JAX,PDX
TM01220,JAX,PDX
J000101121,JAX,PDX
TM01619,JAX,PDX
J000102630,JAX,PDX
TM01517,JAX,PDX
J000112064,JAX,PDX
TM00226,JAX,PDX
TM00914,JAX,PDX
J000106568,JAX,PDX
TM00089,JAX,PDX
TM00203,JAX,PDX
TM00259,JAX,PDX
TM00053,JAX,PDX
J000096904,JAX,PDX
TM00078,JAX,PDX
TM01002,JAX,PDX
TM01344,JAX,PDX
TM01231,JAX,PDX
TM00135,JAX,PDX
TM00388,JAX,PDX
TM00067,JAX,PDX
TM00204,JAX,PDX
TM01278,JAX,PDX
TM01117,JAX,PDX
J000106569,JAX,PDX
J000106145,JAX,PDX
J000093572,JAX,PDX
TM00926,JAX,PDX
J000096652,JAX,PDX
J000108931,JAX,PDX
J000096949,JAX,PDX
J000109079,JAX,PDX
TM00889,JAX,PDX
TM00327,JAX,PDX
J000106570,JAX,PDX
TM01244,JAX,PDX
TM01149,JAX,PDX
TM00832,JAX,PDX
J000106535,JAX,PDX
TM00112,JAX,PDX
TM00376,JAX,PDX
TM01618,JAX,PDX
TM01243,JAX,PDX
J000109799,JAX,PDX
J000095054,JAX,PDX
J000106133,JAX,PDX
J000099999,JAX,PDX
TM00877,JAX,PDX
TM01629,JAX,PDX
J000099873,JAX,PDX
J000101328,JAX,PDX
TM00080,JAX,PDX
J000116474,JAX,PDX
TM01173,JAX,PDX
TM01045,JAX,PDX
J000106134,JAX,PDX
TM01634,JAX,PDX
TM00091,JAX,PDX
TM01617,JAX,PDX
J000077960,JAX,PDX
TM01096,JAX,PDX
TM00190,JAX,PDX
J000096896,JAX,PDX
TM01085,JAX,PDX
TM00063,JAX,PDX
J000106565,JAX,PDX
TM01171,JAX,PDX
TM00298,JAX,PDX
TM00332,JAX,PDX
TM01354,JAX,PDX
J000077712,JAX,PDX
TM00847,JAX,PDX
TM01628,JAX,PDX
J000096931,JAX,PDX
TM00228,JAX,PDX
TM00939,JAX,PDX
TM00916,JAX,PDX
TM00314,JAX,PDX
J000104314,JAX,PDX
J000103917,JAX,PDX
J000077608,JAX,PDX
TM00927,JAX,PDX
TM00097,JAX,PDX
TM00355,JAX,PDX
TM00263,JAX,PDX
J000080739,JAX,PDX
J000106542,JAX,PDX
TM00137,JAX,PDX
J000101892,JAX,PDX
TM01325,JAX,PDX
TM00206,JAX,PDX
J000100675,JAX,PDX
TM01148,JAX,PDX
TM00928,JAX,PDX
TM01578,JAX,PDX
J000106124,JAX,PDX
J000106531,JAX,PDX
TM00113,JAX,PDX
TM00302,JAX,PDX
TM01565,JAX,PDX
TM00098,JAX,PDX
TM01135,JAX,PDX
TM01404,JAX,PDX
TM00075,JAX,PDX
TM00860,JAX,PDX
J000093933,JAX,PDX
J000101220,JAX,PDX
J000112882,JAX,PDX
TM00064,JAX,PDX
TM01086,JAX,PDX
J000106543,JAX,PDX
TM00194,JAX,PDX
TM01273,JAX,PDX
TM01355,JAX,PDX
J000106146,JAX,PDX
J000096869,JAX,PDX
TM01239,JAX,PDX
TM00183,JAX,PDX
TM01160,JAX,PDX
TM00022,JAX,PDX
TM01044,JAX,PDX
TM01302,JAX,PDX
J000104720,JAX,PDX
TM00881,JAX,PDX
J000102184,JAX,PDX
J000107333,JAX,PDX
TM01075,JAX,PDX
J000106532,JAX,PDX
J000106125,JAX,PDX
J000099207,JAX,PDX
TM00356,JAX,PDX
TM01137,JAX,PDX
J000097253,JAX,PDX
J000108157,JAX,PDX
J000106566,JAX,PDX
TM00857,JAX,PDX
TM00274,JAX,PDX
TM00345,JAX,PDX
TM01462,JAX,PDX
TM00253,JAX,PDX
TM01264,JAX,PDX
TM01346,JAX,PDX
J000096976,JAX,PDX
TM01098,JAX,PDX
TM00324,JAX,PDX
J000101173,JAX,PDX
TM01509,JAX,PDX
TM00076,JAX,PDX
TM01533,JAX,PDX
TM00065,JAX,PDX
J000106567,JAX,PDX
TM00229,JAX,PDX
TM00334,JAX,PDX
TM01125,JAX,PDX
J000092712,JAX,PDX
TM01031,JAX,PDX
TM01555,JAX,PDX
TM00103,JAX,PDX
TM01427,JAX,PDX
TM01263,JAX,PDX
J000111054,JAX,PDX
TM00193,JAX,PDX
TM00170,JAX,PDX
TM01087,JAX,PDX
TM00694,JAX,PDX
TM00136,JAX,PDX
J000100674,JAX,PDX
J000111428,JAX,PDX
TM00312,JAX,PDX
TM00929,JAX,PDX
TM00368,JAX,PDX
TM01076,JAX,PDX
J000106533,JAX,PDX
TM00099,JAX,PDX
J000111787,JAX,PDX
J000111615,JAX,PDX
TM01510,JAX,PDX
J000096837,JAX,PDX
P3,LIH,PDX
P8,LIH,PDX
P13,LIH,PDX
T16,LIH,PDX
T101,LIH,PDX
T158,LIH,PDX
T185,LIH,PDX
T186,LIH,PDX
T188,LIH,PDX
T192,LIH,PDX
T226,LIH,PDX
T233,LIH,PDX
T238,LIH,PDX
T239,LIH,PDX
T251,LIH,PDX
T281,LIH,PDX
T304,LIH,PDX
T331,LIH,PDX
T341,LIH,PDX
T347,LIH,PDX
T356,LIH,PDX
T361,LIH,PDX
T363,LIH,PDX
T367,LIH,PDX
T384,LIH,PDX
T386,LIH,PDX
T394,LIH,PDX
T407,LIH,PDX
T434,LIH,PDX
T470,LIH,PDX
T476,LIH,PDX
T515,LIH,PDX
T591,LIH,PDX
T744,LIH,PDX
T756,LIH,PDX
T772,LIH,PDX
T784,LIH,PDX
T797,LIH,PDX
T831,LIH,PDX
T832,LIH,PDX
MDA BCX.010,MDAnderson,PDX
MDA BCX.100,MDAnderson,PDX
MDA BCX.102,MDAnderson,PDX
MDA BCX.104,MDAnderson,PDX
MDA BCX.105,MDAnderson,PDX
MDA BCX.011,MDAnderson,PDX
MDA TC-114,MDAnderson,PDX
MDA TC-117,MDAnderson,PDX
MDA TC-133,MDAnderson,PDX
MDA TC-137,MDAnderson,PDX
MDA TC-142,MDAnderson,PDX
MDA TC-145,MDAnderson,PDX
MDA TC-152,MDAnderson,PDX
MDA TC-154,MDAnderson,PDX
MDA TC-162,MDAnderson,PDX
MDA TC-164,MDAnderson,PDX
MDA TC-168,MDAnderson,PDX
MDA TC-169,MDAnderson,PDX
MDA BCX.017,MDAnderson,PDX
MDA TC-172,MDAnderson,PDX
MDA TC-209,MDAnderson,PDX
MDA TC-211,MDAnderson,PDX
MDA TC-219,MDAnderson,PDX
MDA BCX.022,MDAnderson,PDX
MDA TC-223,MDAnderson,PDX
MDA BCX.024,MDAnderson,PDX
MDA TC-241,MDAnderson,PDX
MDA TC-247,MDAnderson,PDX
MDA TC-250,MDAnderson,PDX
MDA TC-253,MDAnderson,PDX
MDA TC-255,MDAnderson,PDX
MDA TC-257,MDAnderson,PDX
MDA TC-258,MDAnderson,PDX
MDA TC-260,MDAnderson,PDX
MDA TC-282,MDAnderson,PDX
MDA TC-286,MDAnderson,PDX
MDA TC-290,MDAnderson,PDX
MDA TC-303,MDAnderson,PDX
MDA TC-312,MDAnderson,PDX
MDA TC-314,MDAnderson,PDX
MDA TC-316,MDAnderson,PDX
MDA TC-318,MDAnderson,PDX
MDA TC-319,MDAnderson,PDX
MDA TC-330,MDAnderson,PDX
MDA TC-333,MDAnderson,PDX
MDA TC-349,MDAnderson,PDX
MDA TC-353,MDAnderson,PDX
MDA TC-358,MDAnderson,PDX
MDA TC-359,MDAnderson,PDX
MDA TC-366,MDAnderson,PDX
MDA TC-370,MDAnderson,PDX
MDA TC-371,MDAnderson,PDX
MDA TC-372,MDAnderson,PDX
MDA TC-373,MDAnderson,PDX
MDA TC-375,MDAnderson,PDX
MDA TC-380,MDAnderson,PDX
MDA TC-383,MDAnderson,PDX
MDA TC-384,MDAnderson,PDX
MDA TC-385,MDAnderson,PDX
MDA TC-386,MDAnderson,PDX
MDA TC-388,MDAnderson,PDX
MDA TC-389,MDAnderson,PDX
MDA TC-391,MDAnderson,PDX
MDA TC-393,MDAnderson,PDX
MDA TC-395,MDAnderson,PDX
MDA TC-396,MDAnderson,PDX
MDA TC-397,MDAnderson,PDX
MDA TC-400,MDAnderson,PDX
MDA TC-402,MDAnderson,PDX
MDA TC-403,MDAnderson,PDX
MDA TC-404,MDAnderson,PDX
MDA TC-405,MDAnderson,PDX
MDA TC-406,MDAnderson,PDX
MDA TC-411,MDAnderson,PDX
MDA BCX.042,MDAnderson,PDX
MDA TC-422,MDAnderson,PDX
MDA TC-423,MDAnderson,PDX
MDA TC-424,MDAnderson,PDX
MDA 425,MDAnderson,PDX
MDA TC-427,MDAnderson,PDX
MDA TC-429,MDAnderson,PDX
MDA TC-430,MDAnderson,PDX
MDA TC-431,MDAnderson,PDX
MDA TC-434,MDAnderson,PDX
MDA TC-435,MDAnderson,PDX
MDA TC-436,MDAnderson,PDX
MDA TC-438,MDAnderson,PDX
MDA TC-441,MDAnderson,PDX
MDA TC-442,MDAnderson,PDX
MDA TC-445,MDAnderson,PDX
MDA TC-449,MDAnderson,PDX
MDA TC-451,MDAnderson,PDX
MDA TC-453,MDAnderson,PDX
MDA TC-454,MDAnderson,PDX
MDA TC-455,MDAnderson,PDX
MDA TC-461,MDAnderson,PDX
MDA TC-462,MDAnderson,PDX
MDA TC-464,MDAnderson,PDX
MDA TC-466,MDAnderson,PDX
MDA TC-467,MDAnderson,PDX
MDA TC-468,MDAnderson,PDX
MDA TC-470,MDAnderson,PDX
MDA TC-471,MDAnderson,PDX
MDA TC-474,MDAnderson,PDX
MDA TC-476,MDAnderson,PDX
MDA TC-479,MDAnderson,PDX
MDA TC-481,MDAnderson,PDX
MDA TC-485,MDAnderson,PDX
MDA TC-488,MDAnderson,PDX
MDA TC-490,MDAnderson,PDX
MDA TC-491,MDAnderson,PDX
MDA TC-494,MDAnderson,PDX
MDA TC-495,MDAnderson,PDX
MDA TC-496,MDAnderson,PDX
MDA TC-497,MDAnderson,PDX
MDA TC-503,MDAnderson,PDX
MDA BCX.051,MDAnderson,PDX
MDA BCX.055,MDAnderson,PDX
MDA BCX.006,MDAnderson,PDX
MDA BCX.060,MDAnderson,PDX
MDA BCX.065,MDAnderson,PDX
MDA BCX.066,MDAnderson,PDX
MDA BCX.070,MDAnderson,PDX
MDA TC-76,MDAnderson,PDX
MDA TC-78,MDAnderson,PDX
MDA BCX.080,MDAnderson,PDX
MDA BCX.084,MDAnderson,PDX
MDA BCX.087,MDAnderson,PDX
MDA BCX.009,MDAnderson,PDX
MDA BCX.092,MDAnderson,PDX
MDA BCX.094,MDAnderson,PDX
MDA BCX.095,MDAnderson,PDX
MDA BCX.096,MDAnderson,PDX
MDA BCX.099,MDAnderson,PDX
MDA B1001,MDAnderson,PDX
MDA B1002/C0997,MDAnderson,
MDA B1003,MDAnderson,PDX
MDA B1006,MDAnderson,PDX
MDA B1008,MDAnderson,PDX
MDA B1011,MDAnderson,PDX
MDA B1015,MDAnderson,PDX
MDA B1021,MDAnderson,PDX
MDA B1022,MDAnderson,PDX
MDA B1025,MDAnderson,PDX
MDA B1029,MDAnderson,PDX
MDA B8001,MDAnderson,PDX
MDA B8008,MDAnderson,PDX
MDA B8009,MDAnderson,PDX
MDA B8010,MDAnderson,PDX
MDA B8016,MDAnderson,PDX
MDA B8020,MDAnderson,PDX
MDA B8021,MDAnderson,PDX
MDA B8025,MDAnderson,PDX
MDA B8026,MDAnderson,PDX
MDA B8032,MDAnderson,PDX
MDA B8034,MDAnderson,PDX
MDA B8043,MDAnderson,PDX
MDA B8046,MDAnderson,PDX
MDA B8048,MDAnderson,PDX
MDA B8056,MDAnderson,PDX
MDA B8057,MDAnderson,PDX
MDA B8061,MDAnderson,PDX
MDA B8063,MDAnderson,PDX
MDA B8069,MDAnderson,PDX
MDA B8078,MDAnderson,PDX
MDA B8086,MDAnderson,PDX
MDA B8087,MDAnderson,PDX
MDA B8090,MDAnderson,PDX
MDA B8093,MDAnderson,PDX
MDA B8097,MDAnderson,PDX
MDA B8101,MDAnderson,PDX
MDA B8104,MDAnderson,PDX
MDA B8114,MDAnderson,PDX
MDA B8120,MDAnderson,PDX
MDA B8131,MDAnderson,PDX
MDA B8134,MDAnderson,PDX
MDA BM8095,MDAnderson,PDX
MDA BS8088,MDAnderson,PDX
MDA BS8107,MDAnderson,PDX
MDA C0998,MDAnderson,PDX
MDA C0999,MDAnderson,PDX
MDA C1003,MDAnderson,PDX
MDA C1004,MDAnderson,PDX
MDA C1005,MDAnderson,PDX
MDA C1008,MDAnderson,PDX
MDA C1009,MDAnderson,PDX
MDA C1010,MDAnderson,PDX
MDA C1011,MDAnderson,PDX
MDA C1012,MDAnderson,PDX
MDA C1013,MDAnderson,PDX
MDA C1014,MDAnderson,PDX
MDA C1016,MDAnderson,PDX
MDA C1018,MDAnderson,PDX
MDA C1021,MDAnderson,PDX
MDA C1022,MDAnderson,PDX
MDA C1023,MDAnderson,PDX
MDA C1025,MDAnderson,PDX
MDA C1026,MDAnderson,PDX
MDA C1028,MDAnderson,PDX
MDA C1030,MDAnderson,PDX
MDA C1031,MDAnderson,PDX
MDA C1032,MDAnderson,PDX
MDA C1033,MDAnderson,PDX
MDA C1035,MDAnderson,PDX
MDA C1037,MDAnderson,PDX
MDA C1040,MDAnderson,PDX
MDA C1041,MDAnderson,PDX
MDA C1042,MDAnderson,PDX
MDA C1044,MDAnderson,PDX
MDA C1045,MDAnderson,PDX
MDA C1047,MDAnderson,PDX
MDA C1051,MDAnderson,PDX
MDA C1053,MDAnderson,PDX
MDA C1054,MDAnderson,PDX
MDA C1058,MDAnderson,PDX
MDA C1062,MDAnderson,PDX
MDA C1066,MDAnderson,PDX
MDA C1068,MDAnderson,PDX
MDA C1069,MDAnderson,PDX
MDA C1070,MDAnderson,PDX
MDA C1071,MDAnderson,PDX
MDA C1075,MDAnderson,PDX
MDA C1086,MDAnderson,PDX
MDA C1087,MDAnderson,PDX
MDA C1092,MDAnderson,PDX
MDA C1114,MDAnderson,PDX
MDA C1117,MDAnderson,PDX
MDA C1122,MDAnderson,PDX
MDA C1137,MDAnderson,PDX
MDA C1138,MDAnderson,PDX
MDA C1141,MDAnderson,PDX
MDA C1142,MDAnderson,PDX
MDA C1143,MDAnderson,PDX
MDA C1144,MDAnderson,PDX
MDA C1148,MDAnderson,PDX
MDA C1151,MDAnderson,PDX
MDA C1157,MDAnderson,PDX
MDA C1159,MDAnderson,PDX
MDA C1163,MDAnderson,PDX
MDA C1166,MDAnderson,PDX
MDA C1168,MDAnderson,PDX
MDA C1174,MDAnderson,PDX
MDA C1177,MDAnderson,PDX
MDA C1179,MDAnderson,PDX
MDA C1186,MDAnderson,PDX
MDA C5001,MDAnderson,PDX
MDA C5002,MDAnderson,PDX
MDA C5003,MDAnderson,PDX
MDA C5004,MDAnderson,PDX
MDA C5005,MDAnderson,PDX
MDA C5006,MDAnderson,PDX
MDA C5007,MDAnderson,PDX
MDA C5008,MDAnderson,PDX
MDA C5009,MDAnderson,PDX
MDA C5010,MDAnderson,PDX
MDA C5011,MDAnderson,PDX
MDA C5012,MDAnderson,PDX
MDA C5013,MDAnderson,PDX
MDA C5014,MDAnderson,PDX
MDA C5015,MDAnderson,PDX
MDA C5016,MDAnderson,PDX
MDA C5017,MDAnderson,PDX
MDA C5018,MDAnderson,PDX
MDA C5019,MDAnderson,PDX
MDA C5020,MDAnderson,PDX
MDA C5021,MDAnderson,PDX
MDA E4001,MDAnderson,PDX
MDA E4002,MDAnderson,PDX
MDA E4005,MDAnderson,PDX
MDA E4013,MDAnderson,PDX
MDA E4016,MDAnderson,PDX
MDA E4017,MDAnderson,PDX
MDA E4022,MDAnderson,PDX
MDA F3004,MDAnderson,PDX
MDA F3008,MDAnderson,PDX
MDA F3018,MDAnderson,PDX
MDA F3020,MDAnderson,PDX
MDA F3026,MDAnderson,PDX
MDA F3028,MDAnderson,PDX
MDA F3036,MDAnderson,PDX
MDA F3042,MDAnderson,PDX
MDA F3048,MDAnderson,PDX
MDA F3050,MDAnderson,PDX
MDA F3053,MDAnderson,PDX
MDA F3064,MDAnderson,PDX
MDA F3065,MDAnderson,PDX
MDA H6005,MDAnderson,PDX
MDA HCC4034,MDAnderson,PDX
MDA HCC4044,MDAnderson,PDX
MDA HCC4058,MDAnderson,PDX
MDA HCC4059,MDAnderson,PDX
MDA HCC4064,MDAnderson,PDX
MDA HCC4068,MDAnderson,PDX
MDA HCC4080,MDAnderson,PDX
MDA HCC4082,MDAnderson,PDX
MDA HCC4083,MDAnderson,PDX
MDA HCC4087,MDAnderson,PDX
MDA HCC4088,MDAnderson,PDX
MDA HCC4089,MDAnderson,PDX
MDA HCC4090,MDAnderson,PDX
MDA HCC4092,MDAnderson,PDX
MDA HCC4133,MDAnderson,PDX
MDA HCC4145,MDAnderson,PDX
MDA HCC4170,MDAnderson,PDX
MDA HCC4185,MDAnderson,PDX
MDA HCC4186,MDAnderson,PDX
MDA HCC4188,MDAnderson,PDX
MDA HCC4190,MDAnderson,PDX
MDA HCC4193,MDAnderson,PDX
MDA HCC4196,MDAnderson,PDX
MDA HCC4207,MDAnderson,PDX
MDA N2003,MDAnderson,PDX
MDA O0002,MDAnderson,PDX
