image_data_points,molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_immunemarker,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_patient,sample_type_total,release,provider,treatment_data_points,model_type_pdx,sample_type_xenograft,drug_data_points
268,94,8972204,9644940,110,57387,18675003,107,94,30,231,1544,82,1626,PDCM_DR_v6.0,BROD,,,,
0,0,2861617,2869983,0,15432,5747668,107,94,30,321,0,802,802,PDCM_DR_v6.0,CCIA,636,90,,
0,0,1125355,1128645,0,4841,2259477,107,94,30,356,0,315,315,PDCM_DR_v6.0,CHOP,636,125,,
1315,0,46287642,55552696,12000,8438332,110291985,1995,138,30,2288,120319,0,120319,PDCM_DR_v6.0,CMP,0,125,,
1550,438,21105072,39427529,1554,3382462,63918683,1995,138,30,2828,0,0,3741,PDCM_DR_v6.0,CRL,78,665,3741,
197,239,7153514,6308640,248,24779,13487617,1995,359,30,3049,2149,66,2215,PDCM_DR_v6.0,CSHL,0,665,0,
0,0,13206,446736,160,1287,461389,1995,391,30,3081,1688,0,1688,PDCM_DR_v6.0,CUIMC,0,665,0,
0,52,424764,0,0,32,425170,1995,406,30,3130,0,0,194,PDCM_DR_v6.0,Curie-BC,155,699,194,167
0,12,89123,0,0,495,89643,1995,406,30,3136,0,0,23,PDCM_DR_v6.0,Curie-LC,0,705,23,13
0,0,0,0,0,0,0,1995,406,30,3141,0,0,0,PDCM_DR_v6.0,Curie-OC,0,710,0,0
0,0,0,0,213,0,3727,1995,406,30,3876,0,0,71,PDCM_DR_v6.0,DFCI-CPDM,0,1445,71,3514
0,0,1639803,1644597,0,7007,3293307,1995,406,30,3930,0,466,466,PDCM_DR_v6.0,GCCRI,1900,1499,0,0
0,105,0,0,0,0,176,1995,406,30,3997,0,33,35,PDCM_DR_v6.0,HCI-BCM,61,1566,2,10
0,0,0,0,0,0,0,1995,440,30,4031,0,0,0,PDCM_DR_v6.0,HKU,0,1566,0,0
0,0,11658,5044592,0,25887,5082687,1995,440,30,4670,0,39,1752,PDCM_DR_v6.0,IRCC-CRC,0,2205,1713,550
0,0,11809,0,0,17418,29247,1995,440,30,4746,0,0,226,PDCM_DR_v6.0,IRCC-GC,20,2281,226,0
2680,0,147915,206523,1480,135105,494106,1995,440,30,5173,0,0,18736,PDCM_DR_v6.0,JAX,0,2708,18736,403
0,6,137715,1494257,0,117,1632135,1995,440,30,5218,0,0,148,PDCM_DR_v6.0,LIH,40,2753,148,0
0,0,1350426,1348129,0,10329,2708884,1995,440,30,5265,0,292,292,PDCM_DR_v6.0,LurieChildrens,0,2800,0,0
0,0,0,0,0,0,0,1995,440,30,5581,0,0,0,PDCM_DR_v6.0,MDAnderson,0,3116,0,0
0,0,1061049,1064151,0,5171,2130928,1995,440,30,5616,0,289,289,PDCM_DR_v6.0,MDAnderson-CCH,557,3151,0,0
0,21,255864,1229016,0,393427,1878328,1995,440,30,5623,0,63,121,PDCM_DR_v6.0,NKI,0,3158,58,0
0,0,0,121936842,4080,18743,121960955,2218,667,30,6754,21141,9357,42703,PDCM_DR_v6.0,PDMR,1290,3839,12205,0
0,0,3148113,0,0,311346,3459459,2218,667,30,7177,0,179,1018,PDCM_DR_v6.0,PMLB,0,4262,839,0
0,0,0,0,0,0,0,2218,919,30,7429,0,0,0,PDCM_DR_v6.0,PMLB-Organoid,0,4262,0,0
103,123,5213578,3882240,105,20120,9116269,2218,1035,30,7545,998,18,1016,PDCM_DR_v6.0,SANG,0,4262,0,0
796,0,28,0,678,527307,528809,2218,1035,30,7831,0,67,2007,PDCM_DR_v6.0,SJCRH,0,4548,1940,0
0,94,0,0,0,10,192,2218,1035,30,7862,0,18,31,PDCM_DR_v6.0,TRACE,80,4579,13,8
0,0,0,0,0,0,0,2218,1035,30,7889,0,0,0,PDCM_DR_v6.0,UCD,0,4606,0,0
0,0,0,0,0,0,0,2218,1035,30,7897,0,0,0,PDCM_DR_v6.0,UMCG,0,4614,0,0
0,240,1020326,595188,0,7994,1623858,2218,1035,30,7956,0,151,326,PDCM_DR_v6.0,UOC-BC,110,4673,175,0
0,102,0,402940,0,204,403286,2218,1035,30,7968,0,12,53,PDCM_DR_v6.0,UOM-BC,40,4685,41,0
0,23,0,0,0,0,23,2218,1035,30,7975,0,2,9,PDCM_DR_v6.0,VHIO-BC,0,4692,7,0
0,0,0,0,0,299,299,2218,1035,30,8049,0,0,4,PDCM_DR_v6.0,VHIO-CRC,0,4766,4,0
0,0,0,0,0,0,0,2218,1035,30,8092,0,0,0,PDCM_DR_v6.0,VHIO-PC,0,4809,0,0
22,25,545607,727920,15,5383,1278972,2218,1050,30,8107,147,6,153,PDCM_DR_v6.0,WCMC,0,4809,0,0
0,0,0,0,0,0,0,2218,1050,30,8226,0,0,0,PDCM_DR_v6.0,WUSTL,0,4928,0,0
0,0,0,0,0,0,0,2218,1050,30,8483,0,0,0,PDCM_DR_v6.0,Wistar-MDAnderson-Penn,0,5185,0,0
