model_id,provider,model_type,PDCM_DR_v1.0,PDCM_DR_v2.0,PDCM_DR_v2.1,PDCM_DR_v3.0,PDCM_DR_v3.1,PDCM_DR_v4.0,PDCM_DR_v5.0,PDCM_DR_v5.1,PDCM_DR_v5.2,PDCM_DR_v5.3,PDCM_DR_v6.0,PDCM_DR_v6.1,PDCM_DR_v6.2,PDCM_DR_v6.3,PDCM_DR_v6.4,PDCM_DR_v6.5,PDCM_DR_v6.6
bcm-3204,hci-bcm,pdx,50.0,50.0,50.0,50.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,49.0,49.0,49.0,49.0,49.0
bcm-3277,hci-bcm,pdx,,,,,,,,,,,,,45.0,45.0,45.0,45.0,45.0
bcm-3469,hci-bcm,pdx,,,,,,,,,,,,,45.0,45.0,45.0,45.0,45.0
bcm-3472,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,56.0,56.0,56.0,56.0,56.0
bcm-3561,hci-bcm,pdx,,,,,,,,,,,,,37.0,37.0,37.0,37.0,37.0
bcm-3611,hci-bcm,pdx,,,,,,,,,,,,,47.0,47.0,47.0,47.0,47.0
bcm-3613,hci-bcm,pdx,,,,,,,,,,,,,41.0,41.0,41.0,41.0,41.0
bcm-3807,hci-bcm,pdx,,,,,,,,,,,,,47.0,47.0,47.0,47.0,47.0
bcm-3887,hci-bcm,pdx,52.0,52.0,52.0,52.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,54.0,54.0,54.0,54.0,54.0
bcm-3904,hci-bcm,pdx,52.0,52.0,52.0,52.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,49.0,49.0,49.0,49.0,49.0
bcm-3936,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,56.0,56.0,56.0,56.0,56.0
bcm-3963,hci-bcm,pdx,52.0,52.0,52.0,52.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,49.0,49.0,49.0,49.0,49.0
bcm-4013,hci-bcm,pdx,47.0,47.0,47.0,47.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,49.0,49.0,49.0,49.0,49.0
bcm-4169,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,49.0,49.0,49.0,49.0,49.0
bcm-4175,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,56.0,56.0,56.0,56.0,56.0
bcm-4189,hci-bcm,pdx,50.0,50.0,50.0,50.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,35.0,35.0,35.0,35.0,35.0
bcm-4195,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,56.0,56.0,56.0,56.0,56.0
bcm-4272,hci-bcm,pdx,50.0,50.0,50.0,50.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,49.0,49.0,49.0,49.0,49.0
bcm-4400,hci-bcm,pdx,,,,,,,,,,,,,47.0,47.0,47.0,47.0,47.0
bcm-4664,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,56.0,56.0,56.0,56.0,56.0
bcm-4849,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,56.0,56.0,56.0,56.0,56.0
bcm-4888,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,56.0,56.0,56.0,56.0,56.0
bcm-4913,hci-bcm,pdx,,,,,,,,,,,,,43.0,43.0,43.0,43.0,43.0
bcm-5097,hci-bcm,pdx,52.0,52.0,52.0,52.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,49.0,49.0,49.0,49.0,49.0
bcm-5156,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,39.0,39.0,39.0,39.0,39.0
bcm-5438,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,56.0,56.0,56.0,56.0,56.0
bcm-5471,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,54.0,54.0,54.0,54.0,54.0
bcm-5998,hci-bcm,pdx,,,,,,,,,,,,,45.0,45.0,45.0,45.0,45.0
bcm-6257,hci-bcm,pdx,50.0,50.0,50.0,50.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,49.0,49.0,49.0,49.0,49.0
bcm-7441,hci-bcm,pdx,,,,,,,,,,,,,37.0,37.0,37.0,37.0,37.0
bcm-7482,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,54.0,54.0,54.0,54.0,54.0
bcm-7649,hci-bcm,pdx,50.0,50.0,50.0,50.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,49.0,49.0,49.0,49.0,49.0
bcm-7821,hci-bcm,pdx,54.0,54.0,54.0,54.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,54.0,54.0,54.0,54.0,54.0
bcm-8563,hci-bcm,pdx,50.0,50.0,50.0,50.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,35.0,35.0,35.0,35.0,35.0
bcm-9161,hci-bcm,pdx,,,,,,,,,,,,,37.0,37.0,37.0,37.0,37.0
bcro_150_s-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_199_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_203_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_217_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_219_s-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_219_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_227_s-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_227_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_239_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_247_t1-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_247_t1b-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_260_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_268_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_271_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_289_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_291_t1-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_292_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_294_t1-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_299_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_305_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_309_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_312_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_320_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bcro_336_t-pdo,irccs-cro,organoid,,,,,,,,,,,,,,,,47.0,47.0
bl0293-f563,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
bl0293-f563-v1-organoid,pdmr,organoid,,,36.0,36.0,36.0,36.0,39.0,39.0,39.0,39.0,46.0,46.0,46.0,46.0,46.0,49.0,53.0
bl0382-f1232,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
bl0479-f1894,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
bl0479-f1894-pdc,pdmr,cell line,,,33.0,33.0,33.0,33.0,36.0,36.0,39.0,39.0,49.0,49.0,49.0,49.0,49.0,49.0,53.0
bl0479-f1894-v1-organoid,pdmr,organoid,,,33.0,33.0,33.0,33.0,36.0,36.0,39.0,39.0,46.0,46.0,46.0,46.0,46.0,46.0,50.0
bpto.51,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
bpto.93,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
bpto.95,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
brc0004pr,trace,pdx,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
brc0013pr,trace,pdx,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
brc0015pr,trace,pdx,69.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
brc0020ly,trace,pdx,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
brc0021pr,trace,pdx,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
breast_hsm_bc004.1_c,irccs-hsm-ge,cell line,,,,,,,,,,,,,,,55.0,55.0,55.0
breast_hsm_bc004.1_pdx,irccs-hsm-ge,pdx,,,,,,,,,,,,,,,66.0,66.0,66.0
breast_hsm_bc004.2_c,irccs-hsm-ge,cell line,,,,,,,,,,,,,,,52.0,52.0,52.0
breast_hsm_bc004.2_pdx,irccs-hsm-ge,pdx,,,,,,,,,,,,,,,64.0,64.0,64.0
breast_hsm_bc007.1_c,irccs-hsm-ge,cell line,,,,,,,,,,,,,,,55.0,55.0,55.0
breast_hsm_bc007.1_pdx,irccs-hsm-ge,pdx,,,,,,,,,,,,,,,66.0,66.0,66.0
breast_hsm_bc022.1_c,irccs-hsm-ge,cell line,,,,,,,,,,,,,,,55.0,55.0,55.0
breast_hsm_bc022.1_pdx,irccs-hsm-ge,pdx,,,,,,,,,,,,,,,66.0,66.0,66.0
bt-12,ccc,cell line,,,,,,,,,,,,,,,,,60.0
bt-27,gccri,pdx,,,,43.0,39.0,39.0,39.0,39.0,39.0,,,,,,,,
bt-27,pivot,pdx,,43.0,43.0,,,,,,,,,,,,,,
bt-27,pptc,pdx,43.0,,,,,,,,,,,,,,,,
bt-29,gccri,pdx,,,,58.0,54.0,54.0,54.0,54.0,54.0,,,,,,,,
bt-29,pivot,pdx,,58.0,58.0,,,,,,,,,,,,,,
bt-29,pptc,pdx,58.0,,,,,,,,,,,,,,,,
bt112_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
bt1150_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt116_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt127_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
bt188_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt260_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt27,gccri,pdx,,,,,,,,,,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
bt29,gccri,pdx,,,,,,,,,,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
bt329_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
bt354_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
bt355_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
bt397_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt416_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,64.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
bt421_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
bt422_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,64.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
bt455_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
bt456_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt496_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
bt544_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
bt597_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,64.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
bt623_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt632_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,64.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
bt640_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt653_pdx_001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
bt669_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt675_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,64.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
bt686_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt690_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,64.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
bt692_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
bt698_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,64.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
bt806_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,64.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
bt869_pdx_001,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,64.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
bxto.143,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
bxto.64,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
cam1001m2,uoc-bc,pdx,66.0,66.0,66.0,66.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
cam2004t2,uoc-bc,pdx,66.0,66.0,66.0,66.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
cam2008t3,uoc-bc,pdx,66.0,66.0,66.0,66.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
cbab-10855-v2,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,50.0,35.0,35.0,35.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
cbab-11467-v0,dfci-cpdm,pdx,64.0,64.0,64.0,64.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
cbab-11470-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-12402-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-12567-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-13196-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
cbab-14536-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-14685-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-15891-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
cbab-16395-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-18316-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-19404-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-21952-v0,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
cbab-22694-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-24426-v1,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
cbab-25557-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
cbab-28262-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-29894-v2,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
cbab-30198-v0,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
cbab-32407-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-35186-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-35712-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-35746-v1,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
cbab-37009-v0,dfci-cpdm,pdx,64.0,64.0,64.0,64.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-37565-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-37854-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-43466-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-43699-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-44189-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-44464-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-44844-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
cbab-45796-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-47947-v0,dfci-cpdm,pdx,64.0,64.0,64.0,64.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
cbab-48512-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-50023-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
cbab-50477-v0,dfci-cpdm,pdx,64.0,64.0,64.0,64.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
cbab-51756-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
cbab-52098-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-53834-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-54155-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-55039-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-56336-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
cbab-57829-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
cbab-60588-v3,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-62871-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-63288-v0,dfci-cpdm,pdx,67.0,67.0,67.0,67.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
cbab-65628-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-68084-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-69471-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
cbab-70595-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-72444-v0,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
cbab-72822-v0,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
cbab-72877-v1,dfci-cpdm,pdx,54.0,54.0,54.0,54.0,47.0,32.0,32.0,32.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
cbab-75728-v1,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
