model_id,provider,model_type,PDCM_DR_v1.0,PDCM_DR_v2.0,PDCM_DR_v2.1,PDCM_DR_v3.0,PDCM_DR_v3.1,PDCM_DR_v4.0,PDCM_DR_v5.0,PDCM_DR_v5.1,PDCM_DR_v5.2,PDCM_DR_v5.3,PDCM_DR_v6.0,PDCM_DR_v6.1,PDCM_DR_v6.2,PDCM_DR_v6.3,PDCM_DR_v6.4,PDCM_DR_v6.5,PDCM_DR_v6.6
138582-337-r-j1-pdc,pdmr,cell line,,,31.0,31.0,31.0,31.0,34.0,34.0,34.0,34.0,41.0,41.0,41.0,41.0,41.0,44.0,49.0
139182-063-r,pdmr,pdx,64.0,64.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
144126-210-t,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
144237-036-t,pdmr,pdx,,,49.0,49.0,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0
144555-231-t,pdmr,pdx,56.0,56.0,49.0,49.0,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
144983-106-r,pdmr,pdx,54.0,54.0,52.0,52.0,49.0,49.0,49.0,49.0,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
145919-334-r,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0
145919-334-r-j1-pdc,pdmr,cell line,,,36.0,36.0,36.0,36.0,39.0,39.0,42.0,42.0,49.0,49.0,49.0,49.0,49.0,49.0,53.0
145919-334-r-v2-organoid,pdmr,organoid,,,36.0,36.0,36.0,36.0,39.0,39.0,42.0,42.0,49.0,49.0,49.0,49.0,49.0,49.0,53.0
146476-266-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
154431-089-r,pdmr,pdx,,,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
154431-089-r-j1-pdc,pdmr,cell line,,,30.0,30.0,30.0,30.0,33.0,33.0,33.0,33.0,42.0,42.0,42.0,42.0,42.0,46.0,50.0
155919-109-r,pdmr,pdx,64.0,64.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0
155919-109-r-v2-organoid,pdmr,organoid,,,36.0,36.0,36.0,36.0,39.0,39.0,42.0,42.0,49.0,49.0,49.0,49.0,49.0,49.0,53.0
156681-154-r,pdmr,pdx,52.0,52.0,49.0,49.0,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0
156681-154-r-j1-pdc,pdmr,cell line,,,28.0,28.0,28.0,28.0,31.0,31.0,34.0,34.0,44.0,44.0,44.0,44.0,44.0,44.0,49.0
156r,mbdi,pdx,,,,,,,,,,,,,,,,,69.0
158597-082-r,pdmr,pdx,54.0,54.0,47.0,47.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0
158597-082-r-v1-organoid,pdmr,organoid,,,30.0,30.0,30.0,30.0,33.0,33.0,36.0,36.0,42.0,42.0,42.0,42.0,42.0,42.0,47.0
158883-120-t,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
159449-244-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
159449-244-r-j1-pdc,pdmr,cell line,,,34.0,34.0,34.0,34.0,38.0,38.0,38.0,38.0,44.0,44.0,44.0,44.0,44.0,47.0,52.0
159449-244-r-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,38.0,38.0,44.0,44.0,44.0,44.0,44.0,47.0,52.0
161341-145-t,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
161341-145-t-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
161973-066-r,pdmr,pdx,,,47.0,47.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0
162r,mbdi,pdx,,,,,,,,,,,,,,,,,69.0
163895-298-t,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
164165-088-r1,pdmr,pdx,,,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
165257-294-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
165739-295-r,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
167148-078-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
167148-078-r-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
167_1r,mbdi,pdx,,,,,,,,,,,,,,,,,69.0
167_2m,mbdi,pdx,,,,,,,,,,,,,,,,,66.0
167_2m_cx,mbdi,pdx,,,,,,,,,,,,,,,,,66.0
168753-222-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
168753-222-r-j1-pdc,pdmr,cell line,,,31.0,31.0,31.0,31.0,34.0,34.0,38.0,38.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
171881-019-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
171881-019-r-j1-pdc,pdmr,cell line,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
171881-019-r-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
172845-121-t,pdmr,pdx,62.0,62.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
